,ID,CAP,Età,Data_evento_1,Feat_A_1,Feat_A_2,Feat_A_3,Feat_A_4,Feat_A_5,Feat_A_6,Data_evento_2,Feat_B_1,Feat_B_2,Feat_B_3,Feat_B_4,Feat_B_5,Feat_B_6,Target_1,Feat_C_1,Feat_C_2,Feat_C_3,Feat_C_4,Feat_C_6,Feat_C_5,Target_2
0,0,00012,30.0,13395801600.0,7.42,3.57,10.84,1084.0,37.6148,10.536358543417368,13395801600.0,,,,,,,,21.4,17.3,38.7,19.158878504672888,1.0,0.0,0.0
1,1,,30.0,13477449600.0,,,,,,,,,,,,,,,0.0,10.5,10.5,100.0,0.0,0.0,0.0
2,2,00149,50.0,13606272000.0,60.06,23.38,2.14,214.0,7.425800000000001,0.3176133447390933,13599273600.0,,,,,,,,1.3,1.2,2.5,7.692307692307699,0.0,0.0,1.0
3,3,00144,32.0,13338345600.0,23.98,6.53,4.29,429.0,14.8863,2.2796784073506893,13358822400.0,11.0,7.5,0.0,0.0,1.6,0.0,1.0,0.0,10.5,10.5,100.0,0.0,0.0,0.0
4,4,,37.0,13457491200.0,,,,,,,,,,,,,,,14.8,0.0,14.8,100.0,0.0,0.0,0.0
5,5,,,13367635200.0,,,,,,,,,,,,,,,20.0,17.0,37.0,15.0,2.0,0.0,0.0
6,6,,,13453171200.0,,,,,,,,,,,,,,,7.7,7.0,14.7,9.090909090909092,2.0,0.0,0.0
7,7,,70.0,13453257600.0,,22.87,6.91,691.0,23.977700000000002,1.0484346305203323,13451702400.0,,,,,,,,5.7,8.9,14.600000000000001,35.95505617977528,2.0,0.0,0.0
8,8,00125,44.0,13536374400.0,1.86,1.16,3.59,359.0,12.4573,10.739051724137932,13536374400.0,2.8,7.6,60.0,168.0,1.0,20.16,0.0,15.7,14.9,30.6,5.095541401273879,0.0,0.0,0.0
9,9,,,13389148800.0,,,,,,,,,,,,,,,26.0,22.0,48.0,15.384615384615385,1.0,0.0,0.0
10,10,,,13399344000.0,,,,,,,,,,,,,,,13.0,9.0,22.0,30.76923076923077,4.0,1.0,0.0
11,11,03043,18.0,13467772800.0,1.54,2.82,5.76,576.0,19.9872,7.087659574468086,13467772800.0,3.5,7.4,100.0,350.0,0.6,61.6,0.0,29.3,26.5,55.8,9.556313993174063,0.0,0.0,0.0
12,12,NA,18.0,13545705600.0,1.32,3.71,5.25,525.0,18.2175,4.910377358490567,13545705600.0,1.2,7.3,240.0,288.0,1.3,39.6,0.0,19.7,18.1,37.8,8.121827411167502,2.0,0.0,0.0
13,13,,23.0,13456886400.0,,,,,,,,3.5,7.4,60.0,210.0,1.1,26.25,0.0,12.3,13.0,25.3,5.38461538461538,0.0,0.0,0.0
14,14,,,13399430400.0,,,,,,,,,,,,,,,21.0,15.0,36.0,28.57142857142857,1.0,0.0,0.0
